Obesity data- http://www.cdc.gov/obesity/data/table-adults.html ( 2014),,,,,,,,,,,
,,,,,,,,,,,
MEDHHINC 2010- Median Household Income ( 2010),,,,,,,,,,,
"Fast-food restaurants/1,000 pop (% change), 2007-12- (PCH_FFRPTH_07_12)                              Farmers' markets/1,000 pop (% change), 2009-13 (PCH_FMRKTPTH_09_13)                                    Grocery stores/1,000 pop (% change), 2007-12 (PCH_GROCPTH_07_12)                                   Supercenters & club stores (% change), 2007-12 ( PCH_SUPERC_07_12)                                 Convenience Stores ( % change), 2007-2012 (PCH_CONVSPTH_07_12)",,,,,,,,,,,
FIPS Code,State,POVRATE10,Obesity (%),MEDHHINC10,PCH_FFRPTH_07_12,,,PCH_FMRKTPTH_09_13,PCH_GROCPTH_07_12,PCH_SUPERC_07_12,Convenience stores
6043,CA,21.9,,42222,-36.15749791,6043,CA,16.6006149,-24.7570511,0,-42.67203894
6045,CA,10.8,,40339,-18.69811115,6045,CA,,-4.055505169,0,-70.24953104
6047,CA,17.1,,41730,-0.377718686,6047,CA,23.03412943,-7.328110406,178.0156688,-45.57365214
6049,CA,10.7,,34579,13.82723991,6049,CA,339.398757,-2.43379436,0,-51.21689718
6051,CA,11.7,,52768,-10.61471982,6051,CA,-22.69250619,-25.51226652,0,-79.6851636
6053,CA,12.2,,53735,3.070485495,6053,CA,-33.75407242,-4.12204773,135.5622103,-75.69869168
6055,CA,9.1,,62893,16.58727134,6055,CA,-21.27007366,9.274891386,,-74.82334672
6057,CA,15.3,,54154,17.23532271,6057,CA,63.66891596,2.571602979,0,-70.50421194
6059,CA,16.4,,70727,3.584222619,6059,CA,0,-1.750628764,32.94568718,-76.22715109
6061,CA,16.7,,68330,-5.728698479,6061,CA,80.1923613,5.103931078,37.63610022,-70.37300246
6063,CA,12.7,,41421,-26.97239548,6063,CA,284.6359329,-2.629860646,0,-61.13830358
6065,CA,18.1,,53981,-0.904458386,6065,CA,-3.160847208,-4.439282686,105.9498218,-67.13609916
6067,CA,14.8,,52655,-4.993738109,6067,CA,39.22943881,1.779820375,61.02756253,-66.45259114
6069,CA,12.8,,58194,-28.13664651,6069,CA,73.29625152,-26.29399642,0,-78.22322621
6071,CA,19,,52270,0.976804867,6071,CA,6.513922233,8.481426703,39.28193842,-57.93625994
6073,CA,14.3,,59759,0.347807433,6073,CA,-48.13650188,1.329664387,26.71727093,-72.18679391
6075,CA,7,,70883,13.72393912,6075,CA,115.4684692,7.97131737,-3.230317861,-94.34964978
6077,CA,17.7,,49742,-13.43984887,6077,CA,102.0008675,-3.497350984,184.045533,-62.99237557
6079,CA,10.6,,53620,-10.07977406,6079,CA,-51.60502074,14.2804326,-4.766306167,-74.47985982
6081,CA,14.2,,82413,1.196550129,6081,CA,59.26237428,-4.02239145,-5.677177805,-82.58460021
6083,CA,18.2,,56243,2.661916061,6083,CA,-15.6842093,5.252155174,-7.130451317,-78.89328439
6085,CA,13.4,,84627,3.083206135,6085,CA,97.45599452,-7.812681721,47.42978208,-79.07340505
6087,CA,21.5,,60247,14.93015283,6087,CA,140.1254177,8.408622777,-6.241191112,-80.31780729
6089,CA,12.2,,41058,-12.3862419,6089,CA,9.29330541,-13.92670358,201.2565375,-30.03605004
6091,CA,12.8,,42800,-46.33830201,6091,CA,179.5972703,-100,0,-46.33830201
6093,CA,19.7,,36001,-3.299579997,6093,CA,25.85366382,-4.615231969,,-43.30905296
6095,CA,16.8,,62948,-7.156114392,6095,CA,163.6200131,-14.64229033,68.85981695,-53.34923593
6097,CA,20.4,,58703,-12.63201235,6097,CA,-3.957627373,-1.851966373,-6.18202668,-77.95733054
6099,CA,18.4,,47442,1.600277813,6099,CA,73.84085459,2.17321171,94.12910225,-57.47648236
